NOVUS Program Words and Phrase List,,
,,
XML Tag,English,Armenian
driver_lbl,Drivers,Հայաստան
cleaner_lbl,Cleaners,Հայաստան
priceAK_lbl,Ale - Keg Price,Հայաստան
priceAB_lbl,Ale - Bottle Price,Հայաստան
priceAC_lbl,Ale - Can Price,Հայաստան
priceLK_lbl,Lager - Keg Price,Հայաստան
priceLB_lbl,Lager - Bottle Price,Հայաստան
priceLC_lbl,Lager - Can Price,Հայաստան
prodAK_lbl,Ale - Keg Production,Հայաստան
prodAB_lbl,Ale - Bottle Production,Հայաստան
prodAC_lbl,Ale - Can Production,Հայաստան
prodLK_lbl,Lager - Keg Production,Հայաստան
prodLB_lbl,Lager - Bottle Production,Հայաստան
prodLC_lbl,Lager - Can Production,Հայաստան
aleQuality_lbl,Ale Ingredient Quality,Հայաստան
lagerQuality_lbl,Lager Ingredient Quality,Հայաստան
mrktSpend_lbl,Marketing Spending,Հայաստան
prodDev_lbl,Product Development Spending,Հայաստան
contest_lbl,Promotional Activity,Հայաստան
charity_lbl,Community Development,Հայաստան
low_lbl,Low,Հայաստան
medium_lbl,Medium,Հայաստան
high_lbl,High,Հայաստան
review_title,Review Decisions,Հայաստան
yearChoice_lbl,See Decisions for Year,Հայաստան
submit_lbl,Submit Decisions,Հայաստան
detail_lbl,Detailed View,Հայաստան
units_lbl,Units,Հայաստան
prodEff_lbl,Production Effectiveness,Հայաստան
realProd_lbl,Actual Production,Հայաստան
realTotProd_lbl,Actual Total Production,Հայաստան
planProd,Planned Production,Հայաստան
planTotProd_lbl,Planned Total Production,Հայաստան
prodEffScore_lbl,Production Effectiveness Score,Հայաստան
salesPerf_lbl,Sales Performance,Հայաստան
realSales_lbl,Actual Sales,Հայաստան
realTotSales,Actual Total Sales,Հայաստան
planSales_lbl,Planned Sales,Հայաստան
planTotSales_lbl,Planned Total Sales,Հայաստան
bestSales_lbl,Best Case Sales,Հայաստան
bestTotSales_lbl,Best Case Total Sales,Հայաստան
realMS_lbl,Actual Market Share,Հայաստան
realTotMS_lbl,Actual Total Market Share,Հայաստան
planMS_lbl,Planned Market Share,Հայաստան
planTotMS,Planned Total Market Share,Հայաստան
bestMS_lbl,Best Market Share,Հայաստան
bestTotMS_lbl,Best Total Market Share,Հայաստան
salesPerfScore_lbl,Sales Performance Score,Հայաստան
keyFinRatios_lbl,Key Financial Ratios,Հայաստան
debtEquity_lbl,Debt to Equity,Հայաստան
currentRatio_lbl,Current Ratio,Հայաստան
RoA_lbl,Return on Assets,Հայաստան
RoE_lbl,Return on Equity,Հայաստան
timesInt_lbl,EBITDA / Interest Expense,Հայաստան
finHealthScore_lbl,Financial Health Score,Հայաստան
employeeMoraleScore_lbl,Employee Morale Score,Հայաստան
wcmScore_lbl,Working Capital Management Score,Հայաստան
brandStr_lbl,Brand Strength,Հայաստան
otherSpending_lbl,Other Spending Score,Հայաստան
packagingDec_lbl,Packaging Decisions Score,Հայաստան
priceToQuality_lbl,Price to Quality Match Score,Հայաստան
brandConsistency_lbl,Brand Consistency,Հայաստան
brandStrScore_lbl,Brand Strength Score,Հայաստան
manEffScore_lbl,Managerial Effectiveness Score,Հայաստան
assets_lbl,ASSETS,Հայաստան
cash_lbl,Cash,Հայաստան
shtTermInv_lbl,Short Term Investments,Հայաստան
ar_lbl,Accounts Receivable,Հայաստան
inventory_lbl,Inventory,Հայաստան
totalCA_lbl,Total Current Assets,Հայաստան
